lat,lng,license,time,model,engine,chassis
15.5005916,73.8373116,ADTEST2,2018-09-11T09:59:20+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5029216,73.8370316,ADTEST2,2018-09-11T09:58:50+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5050716,73.8368716,ADTEST2,2018-09-11T09:58:20+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5068216,73.836615,ADTEST2,2018-09-11T09:57:50+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5084416,73.836225,ADTEST2,2018-09-11T09:57:20+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5095866,73.8357966,ADTEST2,2018-09-11T09:56:50+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5102133,73.835575,ADTEST2,2018-09-11T09:56:20+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5102133,73.835575,ADTEST2,2018-09-11T09:56:17+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5102133,73.835575,ADTEST2,2018-09-11T09:56:15+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5102133,73.835575,ADTEST2,2018-09-11T09:56:12+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5106933,73.8353716,ADTEST2,2018-09-11T09:55:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5116749,73.8351033,ADTEST2,2018-09-11T09:55:23+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5126566,73.83517,ADTEST2,2018-09-11T09:54:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5133233,73.835415,ADTEST2,2018-09-11T09:54:23+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5138066,73.83549,ADTEST2,2018-09-11T09:53:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.51448,73.8354466,ADTEST2,2018-09-11T09:53:23+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5164583,73.8345766,ADTEST2,2018-09-11T09:52:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.51751,73.8329516,ADTEST2,2018-09-11T09:52:23+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5184583,73.8302016,ADTEST2,2018-09-11T09:51:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5206816,73.8294616,ADTEST2,2018-09-11T09:51:23+05:30,TOYOTA,1HQ0039202,606F30-98714
15.52288,73.8288633,ADTEST2,2018-09-11T09:50:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5237533,73.8281983,ADTEST2,2018-09-11T09:50:23+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5265666,73.8264666,ADTEST2,2018-09-11T09:49:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5296966,73.8254399,ADTEST2,2018-09-11T09:49:23+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5314616,73.8246949,ADTEST2,2018-09-11T09:48:53+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5314616,73.8246949,ADTEST2,2018-09-11T09:48:03+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5318366,73.82426,ADTEST2,2018-09-11T09:47:46+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5329166,73.8230949,ADTEST2,2018-09-11T09:47:16+05:30,TOYOTA,1HQ0039202,606F30-98714
15.534255,73.8215566,ADTEST2,2018-09-11T09:46:46+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5355816,73.8205916,ADTEST2,2018-09-11T09:46:16+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5371733,73.8194516,ADTEST2,2018-09-11T09:45:46+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5393216,73.817375,ADTEST2,2018-09-11T09:45:16+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:45:14+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:44:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:43:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:42:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:41:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:40:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:39:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:38:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:37:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:36:25+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5397383,73.8169333,ADTEST2,2018-09-11T09:36:24+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5393733,73.8172983,ADTEST2,2018-09-11T09:36:09+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5388149,73.8186816,ADTEST2,2018-09-11T09:35:39+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5394883,73.82002,ADTEST2,2018-09-11T09:35:09+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5405966,73.820575,ADTEST2,2018-09-11T09:34:39+05:30,TOYOTA,1HQ0039202,606F30-98714
15.54162,73.8205516,ADTEST2,2018-09-11T09:34:09+05:30,TOYOTA,1HQ0039202,606F30-98714
